epoch,accuracy,loss,val_accuracy,val_loss
1,0.1970,3.1946,0.3401,2.6787
2,0.3580,2.5237,0.4147,2.3743
3,0.4215,2.2640,0.4697,2.1828
4,0.4615,2.0860,0.4882,2.0687
5,0.4855,1.9678,0.5006,1.9856
6,0.5037,1.8752,0.5236,1.9024
7,0.5179,1.8034,0.5320,1.8633
8,0.5322,1.7540,0.5483,1.8184
9,0.5439,1.7166,0.5354,1.7899
10,0.5460,1.6725,0.5567,1.7318
11,0.5516,1.6371,0.5645,1.7171
12,0.5576,1.6146,0.5713,1.7056
13,0.5613,1.5909,0.5685,1.6913
14,0.5705,1.5490,0.5831,1.6508
15,0.5711,1.5414,0.5859,1.6539
16,0.5738,1.5301,0.5651,1.6486
17,0.5862,1.4906,0.5657,1.6444
18,0.5791,1.4994,0.5943,1.5985
19,0.5872,1.4707,0.5825,1.6264
20,0.5873,1.4681,0.5870,1.6187
