epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.32606014609336853,2.6442558765411377,0.4433221220970154,2.0616676807403564,9.999999747378752e-06
2,0.4445882737636566,1.9971572160720825,0.5325477123260498,1.73819100856781,9.999999747378752e-06
3,0.5120808482170105,1.7014942169189453,0.5645342469215393,1.5792992115020752,9.999999747378752e-06
4,0.557445764541626,1.5221606492996216,0.6038159132003784,1.4907066822052002,9.999999747378752e-06
5,0.5922707319259644,1.3840283155441284,0.6251403093338013,1.4018911123275757,9.999999747378752e-06
6,0.6184048056602478,1.300248146057129,0.6358024477958679,1.3566267490386963,9.999999747378752e-06
7,0.6357248425483704,1.2164548635482788,0.6386082768440247,1.3078641891479492,9.999999747378752e-06
8,0.6537845134735107,1.165234088897705,0.6565656661987305,1.2518035173416138,9.999999747378752e-06
9,0.6694403290748596,1.0995723009109497,0.6604938507080078,1.2272206544876099,9.999999747378752e-06
10,0.6785626411437988,1.058085322380066,0.6773288249969482,1.2011854648590088,9.999999747378752e-06
11,0.692554235458374,1.0176851749420166,0.6756453514099121,1.1794620752334595,9.999999747378752e-06
12,0.7067307829856873,0.9707841277122498,0.6784511804580688,1.1677736043930054,9.999999747378752e-06
13,0.7104906439781189,0.941520094871521,0.6812570095062256,1.1664509773254395,9.999999747378752e-06
14,0.7228180766105652,0.9120229482650757,0.6941638588905334,1.1427526473999023,9.999999747378752e-06
15,0.728858470916748,0.8780481815338135,0.695286214351654,1.110445261001587,9.999999747378752e-06
16,0.7318170666694641,0.8642129302024841,0.703142523765564,1.0928493738174438,9.999999747378752e-06
17,0.7407544255256653,0.835869550704956,0.7025813460350037,1.0889716148376465,9.999999747378752e-06
18,0.7488905191421509,0.8202278017997742,0.7037037014961243,1.0668575763702393,9.999999747378752e-06
19,0.7622041702270508,0.7774020433425903,0.7081930637359619,1.0400820970535278,9.999999747378752e-06
20,0.7630054354667664,0.763226330280304,0.7199775576591492,1.0576164722442627,9.999999747378752e-06
21,0.7699704170227051,0.7472962737083435,0.7312008738517761,1.034488558769226,9.999999747378752e-06
22,0.7836538553237915,0.7145304083824158,0.714927077293396,1.0555758476257324,9.999999747378752e-06
23,0.7785379886627197,0.7101104259490967,0.7205387353897095,1.0424457788467407,9.999999747378752e-06
24,0.7863658666610718,0.6875659823417664,0.7250280380249023,1.0134978294372559,9.999999747378752e-06
25,0.7895093560218811,0.6705846190452576,0.7250280380249023,1.001227855682373,9.999999747378752e-06
26,0.7950567007064819,0.6655707359313965,0.7289562225341797,0.991840124130249,9.999999747378752e-06
27,0.7975221872329712,0.642590343952179,0.7227833867073059,1.0072280168533325,9.999999747378752e-06
28,0.8021449446678162,0.6295667290687561,0.7222222089767456,1.0149853229522705,9.999999747378752e-06
29,0.8067061305046082,0.6028077006340027,0.7160493731498718,0.9907926917076111,9.999999747378752e-06
30,0.8106508851051331,0.599206268787384,0.7362514138221741,0.9970436096191406,9.999999747378752e-06
31,0.8160133361816406,0.5859415531158447,0.7390572428703308,0.9808063507080078,9.999999747378752e-06
32,0.8197731971740723,0.5596728920936584,0.7300785779953003,1.0018502473831177,9.999999747378752e-06
33,0.8193417191505432,0.5624535083770752,0.7340067625045776,0.9770376682281494,9.999999747378752e-06
34,0.8227933645248413,0.5491287708282471,0.7396184206008911,0.9689096212387085,9.999999747378752e-06
35,0.829265296459198,0.5356215238571167,0.7278338670730591,0.9776650667190552,9.999999747378752e-06
36,0.833641529083252,0.5142652988433838,0.744107723236084,0.9410158395767212,9.999999747378752e-06
37,0.8357371687889099,0.5085759162902832,0.7485970854759216,0.9691362977027893,9.999999747378752e-06
38,0.8381410241127014,0.5040183067321777,0.7424242496490479,0.9839051961898804,9.999999747378752e-06
39,0.8431336283683777,0.48989951610565186,0.7502805590629578,0.9476402401924133,9.999999747378752e-06
40,0.8445512652397156,0.48167577385902405,0.7424242496490479,0.971810519695282,9.999999747378752e-06
