epoch,accuracy,loss,val_accuracy,val_loss
1,0.20747041702270508,3.174102783203125,0.34511783719062805,2.672700881958008
2,0.3687746524810791,2.486903190612793,0.4130190908908844,2.3295910358428955
3,0.43361687660217285,2.2019660472869873,0.46352413296699524,2.1317780017852783
4,0.477132648229599,2.0332894325256348,0.4983164966106415,1.9946022033691406
5,0.5060404539108276,1.9044029712677002,0.5196408629417419,1.9246764183044434
6,0.517011821269989,1.8251690864562988,0.5303030014038086,1.8800106048583984
7,0.5341469645500183,1.740774393081665,0.5404040217399597,1.8049787282943726
8,0.5512204170227051,1.686489462852478,0.560606062412262,1.7640503644943237
9,0.5596030354499817,1.6422230005264282,0.5594837069511414,1.7270394563674927
10,0.5655202269554138,1.6056984663009644,0.5684624314308167,1.7122927904129028
11,0.5689718723297119,1.5791703462600708,0.5746352672576904,1.6893070936203003
12,0.5784023404121399,1.5447258949279785,0.5763187408447266,1.6557234525680542
13,0.5857371687889099,1.5110111236572266,0.5892255902290344,1.634883165359497
14,0.5906681418418884,1.4916374683380127,0.5847362279891968,1.6174588203430176
15,0.5911612510681152,1.4779614210128784,0.5768799185752869,1.639877200126648
16,0.5976331233978271,1.4593849182128906,0.5909090638160706,1.5841238498687744
17,0.5992973446846008,1.4414392709732056,0.5965207815170288,1.5732945203781128
18,0.5986193418502808,1.4329107999801636,0.5757575631141663,1.5750343799591064
19,0.6012697219848633,1.4126282930374146,0.5925925970077515,1.576332449913025
20,0.6071868538856506,1.398806095123291,0.6077440977096558,1.5485405921936035
