epoch,accuracy,loss,val_accuracy,val_loss
1,0.3781,2.3716,0.4478,2.0977
2,0.4570,1.9695,0.5090,1.8669
3,0.5054,1.7552,0.5247,1.7588
4,0.5423,1.6087,0.5567,1.6697
5,0.5677,1.5072,0.5511,1.6114
6,0.5905,1.4155,0.5735,1.5489
7,0.6018,1.3521,0.6016,1.4753
8,0.6233,1.2891,0.6139,1.4504
9,0.6301,1.2583,0.6156,1.4170
10,0.6464,1.2162,0.6010,1.4050
11,0.6523,1.1772,0.6240,1.3480
12,0.6588,1.1649,0.6330,1.3432
13,0.6682,1.1227,0.6409,1.3370
14,0.6782,1.0933,0.6369,1.3653
15,0.6884,1.0535,0.6605,1.3044
16,0.6871,1.0452,0.6538,1.2915
17,0.6959,1.0370,0.6577,1.2970
18,0.7002,1.0072,0.6566,1.2536
19,0.7110,0.9825,0.6622,1.2763
20,0.7085,0.9782,0.6560,1.2566
