epoch,accuracy,loss,val_accuracy,val_loss
1,0.2043,3.1727,0.3423,2.6642
2,0.3684,2.4816,0.4276,2.3131
3,0.4328,2.2060,0.4865,2.0914
4,0.4716,2.0307,0.4933,2.0150
5,0.5049,1.9133,0.5039,1.9252
6,0.5228,1.8158,0.5354,1.8530
7,0.5354,1.7513,0.5348,1.8220
8,0.5494,1.6987,0.5466,1.7520
9,0.5550,1.6491,0.5718,1.7293
10,0.5667,1.6026,0.5623,1.6709
11,0.5714,1.5646,0.5741,1.6656
12,0.5810,1.5316,0.5797,1.6506
13,0.5820,1.5130,0.5780,1.6666
14,0.5839,1.4922,0.5786,1.6327
15,0.5923,1.4705,0.5780,1.6305
16,0.5920,1.4621,0.5847,1.5862
17,0.5981,1.4350,0.5988,1.5744
18,0.6011,1.4279,0.6010,1.5605
19,0.6003,1.4123,0.5909,1.5694
20,0.5982,1.4078,0.5937,1.5589
