epoch,accuracy,loss,val_accuracy,val_loss
1,0.3693,2.8000,0.4428,2.5810
2,0.4439,2.4842,0.4893,2.4231
3,0.4873,2.3233,0.5230,2.2935
4,0.5221,2.2015,0.5365,2.2518
5,0.5479,2.1275,0.5612,2.1742
6,0.5670,2.0628,0.5701,2.1470
7,0.5868,2.0097,0.5724,2.1038
8,0.5989,1.9740,0.5909,2.0917
9,0.6122,1.9382,0.6021,2.0547
10,0.6212,1.9043,0.6089,2.0517
11,0.6315,1.8748,0.6128,2.0093
12,0.6383,1.8515,0.6190,2.0100
13,0.6504,1.8257,0.6145,1.9752
14,0.6576,1.7975,0.6201,1.9649
15,0.6558,1.7877,0.6223,1.9772
16,0.6688,1.7660,0.6498,1.9390
17,0.6712,1.7471,0.6313,1.9515
18,0.6824,1.7348,0.6336,1.9320
19,0.6880,1.7185,0.6442,1.9194
20,0.6899,1.7111,0.6425,1.9056
